Title,Video URL,Video Duration,Views Number,Date the video uploaded,Channel URL of the video,Thumbnail URL
"HEARTOPIA Is Almost Here! Everything You Need to Know Before Release 💗","https://www.youtube.com/watch?v=H3n0zoMf0RQ&pp=ygUJaGVhcnRvcGlh","12.18","3.6万次观看","7天前","https://www.youtube.com/@Fleurs_","https://yt3.ggpht.com/Q1DW8EgP5ILdzXf5fzp3WTMGjPo9SytUrYAHR7GqEPFsvYAs9caZ8_HfoZBdT43jqCBo5x1a=s68-c-k-c0x00ffffff-no-rj"
"Heartopia Beginner’s Guide [30+ Tips I Wish I Knew Day One]","https://www.youtube.com/watch?v=Q7pHY-DePl8&pp=ygUJaGVhcnRvcGlh","27.56","4.2万次观看","3天前","https://www.youtube.com/@Serrohverse","https://yt3.ggpht.com/AAbVem_S59ZfyoJOulsPfx76Cpe2YHebMegbnY-tAt99SWFTTKc2sCq-rrneeung3VgENwLJ=s68-c-k-c0x00ffffff-no-rj"
"Is Heartopia Worth Your Time? | Play or Pass 🤔","https://www.youtube.com/watch?v=v5XQyiGSYw0&pp=ygUJaGVhcnRvcGlh0gcJCU0KAYcqIYzv","20.36","3.2万次观看","3天前","https://www.youtube.com/@LetzPlayK","https://yt3.ggpht.com/95wUhTCPsPJ5Ocj909q28ipmAFpdjoKmi-qY5mi5oeNTSdqvRajT36SlKAmskSS5YXhb-z53sZs=s68-c-k-c0x00ffffff-no-rj"
"👉 Heartopia | How to Adopt a Cat 🐱","https://www.youtube.com/watch?v=7BBZTWsN4mo&pp=ygUJaGVhcnRvcGlh","16.41","1661次观看","12小时前","https://www.youtube.com/@EroseSays","https://yt3.ggpht.com/ytc/AIdro_kZKiUxIqJ2STd_ltDB7Hl2nM8onnu7ddNi0peS8xMjWdc=s68-c-k-c0x00ffffff-no-rj"
"I'm OBSESSED with this game!!⭐Heartopia","https://www.youtube.com/watch?v=rT1ZtsSkiw0&pp=ygUJaGVhcnRvcGlh","9.35","3.7万次观看","1个月前","https://www.youtube.com/@froggycrossing","https://yt3.ggpht.com/ytc/AIdro_njvs0fhAC6tC_EqbhJc-HqzrDzxjDrCWFK71NOGu6ivL0=s68-c-k-c0x00ffffff-no-rj"
"🔴Heartopia is OUT! let's build an epic theme park!","https://www.youtube.com/watch?v=uoLNNQHP1Mg&pp=ygUJaGVhcnRvcGlh","2.02:29","1万次观看","直播时间：3天前","https://www.youtube.com/@froggycrossing","https://yt3.ggpht.com/ytc/AIdro_njvs0fhAC6tC_EqbhJc-HqzrDzxjDrCWFK71NOGu6ivL0=s68-c-k-c0x00ffffff-no-rj"
"✨Building My DREAM HOME in Heartopia!","https://www.youtube.com/watch?v=YdhsSM-jLPQ&pp=ygUJaGVhcnRvcGlh","15.55","4.2万次观看","4天前","https://www.youtube.com/@KatherineElizabeth_","https://yt3.ggpht.com/HrWiYVvpL8gxcElPJ6B6jIaWttZqykIJV2L6Kym0uFM2RlLR9My_3J_WvmD0E4qDuMc_eLEv5g=s68-c-k-c0x00ffffff-no-rj"
"MAKE MONEY FAST in Heartopia! How to earn CURRENCY! Guide","https://www.youtube.com/watch?v=CcWod7SS16E&pp=ygUJaGVhcnRvcGlh","9.23","2.1万次观看","1天前","https://www.youtube.com/@CozyCyber","https://yt3.ggpht.com/SGVvaP3f3P_IZqosvqGjl2lHI86NGfx_VBLQlx1I2HjKXI6xCzS85YfgDwRVJb2dcnPWt5m_7ck=s68-c-k-c0x00ffffff-no-rj"
"🔴first look at HEARTOPIA🧡the CUTEST new life sim game!","https://www.youtube.com/watch?v=giC-AMjapk8&pp=ygUJaGVhcnRvcGlh","2.10:19","2.1万次观看","直播时间：2个月前","https://www.youtube.com/@froggycrossing","https://yt3.ggpht.com/ytc/AIdro_njvs0fhAC6tC_EqbhJc-HqzrDzxjDrCWFK71NOGu6ivL0=s68-c-k-c0x00ffffff-no-rj"
"I made my boyfriend play HEARTOPIA","https://www.youtube.com/watch?v=zrUMYnM9OhY&pp=ygUJaGVhcnRvcGlh","9.13","25万次观看","3周前","https://www.youtube.com/@froggycrossing","https://yt3.ggpht.com/ytc/AIdro_njvs0fhAC6tC_EqbhJc-HqzrDzxjDrCWFK71NOGu6ivL0=s68-c-k-c0x00ffffff-no-rj"
"Is Heartopia the CUTEST Game Ever? 💕 First Look!","https://www.youtube.com/watch?v=x760tzTPuzE&pp=ygUJaGVhcnRvcGlh","24.54","4441次观看","1天前","https://www.youtube.com/@yammy","https://yt3.ggpht.com/dht6pg4dBvTDp6GVLQP-7nFAAIg_Ze9AtIYvRzBUehORXt1Z_Yj-SZUB3yFUOvheVAiD41xi1Q=s68-c-k-c0x00ffffff-no-rj"
"Heartopia COULD be the next BIG Cozy Game!! HONEST Thoughts So Far...","https://www.youtube.com/watch?v=p8AybpTEEAY&pp=ygUJaGVhcnRvcGlh","10.30","1.3万次观看","2个月前","https://www.youtube.com/@NintenTalk","https://yt3.ggpht.com/ucJeoe_F68_46BqLbPs2ygpRybvInUQvrSf7xMcBCpzQjHScRSHGqS_FnR2L_-mNzYMYRVBEJw=s68-c-k-c0x00ffffff-no-rj"
"WATCH THIS BEFORE YOU PLAY HEARTOPIA! Complete Guide for Full Release","https://www.youtube.com/watch?v=MnJWQfrlBgk&pp=ygUJaGVhcnRvcGlh","12.23","2.3万次观看","2周前","https://www.youtube.com/@CozyCyber","https://yt3.ggpht.com/SGVvaP3f3P_IZqosvqGjl2lHI86NGfx_VBLQlx1I2HjKXI6xCzS85YfgDwRVJb2dcnPWt5m_7ck=s68-c-k-c0x00ffffff-no-rj"
"My Last Day in Heartopia… I’m Not Ready to Say Goodbye 🥹✨","https://www.youtube.com/watch?v=H_MHc5HnWXU&pp=ygUJaGVhcnRvcGlh","22.09","37万次观看","2周前","https://www.youtube.com/@fantayzia","https://yt3.ggpht.com/39d1-Jb-sK1Ory4aP0BuDhiAGv18teBgsQ-Mh2T4NOYSsbMHTizv-Gl54chIr-BQ14LRhsBc=s68-c-k-c0x00ffffff-no-rj"
"Playing Heartopia With MY VIEWERS! Cozy Multiplayer Life Sim","https://www.youtube.com/watch?v=c4b9lQFHBdM&pp=ygUJaGVhcnRvcGlh","38.12","4131次观看","2天前","https://www.youtube.com/@fantayzia","https://yt3.ggpht.com/39d1-Jb-sK1Ory4aP0BuDhiAGv18teBgsQ-Mh2T4NOYSsbMHTizv-Gl54chIr-BQ14LRhsBc=s68-c-k-c0x00ffffff-no-rj"
"👉 Heartopia | Golden Bubble Locations 🫧 FREE School Outfit","https://www.youtube.com/watch?v=r8q8K09d9y8&pp=ygUJaGVhcnRvcGlh","8.13","3939次观看","2天前","https://www.youtube.com/@EroseSays","https://yt3.ggpht.com/ytc/AIdro_kZKiUxIqJ2STd_ltDB7Hl2nM8onnu7ddNi0peS8xMjWdc=s68-c-k-c0x00ffffff-no-rj"
"8 Tips to Earn Money in Heartopia","https://www.youtube.com/watch?v=x3dlr7R2IHk&pp=ygUJaGVhcnRvcGlh","4.15","1.3万次观看","2天前","https://www.youtube.com/@StMilk_yt","https://yt3.ggpht.com/Hg-LHFWy3hGutw3D8CU5mz9wKy589l5YIOQwlEm1MQberDylu4gxCfjV5MTWsau9afFHLYxDQ-k=s68-c-k-c0x00ffffff-no-rj"
"Heartopia Gameplay Trailer | TGS 2025","https://www.youtube.com/watch?v=wq6h-VJUmOo&pp=ygUJaGVhcnRvcGlh","1.11","13万次观看","4个月前","https://www.youtube.com/@Heartopia-official","https://yt3.ggpht.com/3GBH23oPFmFLP0J1tW78KkKQSZfb2irw4IxjKC5YjPw6NUI_x81xbxLvvkhY53wBYtM9km1T=s68-c-k-c0x00ffffff-no-rj"
"🔴let's build and decorate in HEARTOPIA!","https://www.youtube.com/watch?v=hBIylNAriiE&pp=ygUJaGVhcnRvcGlh0gcJCU0KAYcqIYzv","2.03:29","1万次观看","直播时间：3周前","https://www.youtube.com/@froggycrossing","https://yt3.ggpht.com/ytc/AIdro_njvs0fhAC6tC_EqbhJc-HqzrDzxjDrCWFK71NOGu6ivL0=s68-c-k-c0x00ffffff-no-rj"
"NEW Features In Heartopia's FINAL BETA! Cozy Life Sim","https://www.youtube.com/watch?v=Uh5Lvq3u-bU&pp=ygUJaGVhcnRvcGlh","26.49","5.9万次观看","1个月前","https://www.youtube.com/@fantayzia","https://yt3.ggpht.com/39d1-Jb-sK1Ory4aP0BuDhiAGv18teBgsQ-Mh2T4NOYSsbMHTizv-Gl54chIr-BQ14LRhsBc=s68-c-k-c0x00ffffff-no-rj"
"Heartopia Early Game House Tour! | 🏠💖Cozy Housing Overview & Guide + Free vs Premium","https://www.youtube.com/watch?v=vpeZV5Aof-k&pp=ygUJaGVhcnRvcGlh","18.36","2003次观看","16小时前","https://www.youtube.com/@BarbsCorner","https://yt3.ggpht.com/RP7yZJJddqPJ_hMbZok5NAWISxELyl_-1Hq3PN-h3KEyqDSVOUh9x1wyhpS_0HoYJNXE_DjzPQ=s68-c-k-c0x00ffffff-no-rj"
"Heartopia officially launches on Jan 7!","https://www.youtube.com/watch?v=MyYPETdg4Oc&pp=ygUJaGVhcnRvcGlh","2.04","251万次观看","3周前","https://www.youtube.com/@Heartopia-official","https://yt3.ggpht.com/3GBH23oPFmFLP0J1tW78KkKQSZfb2irw4IxjKC5YjPw6NUI_x81xbxLvvkhY53wBYtM9km1T=s68-c-k-c0x00ffffff-no-rj"
"Heartopia Gameplay - Global Version Android iOS","https://www.youtube.com/watch?v=l_Nzn5PiwYw&pp=ygUJaGVhcnRvcGlh","20.48","8041次观看","1个月前","https://www.youtube.com/@adeptless","https://yt3.ggpht.com/Tp5f5NcGHKfWng97D0osOECVKwE5I4c2y72gFjt0HSXqZmale04TlgeRpNNEaJdIzy3ywJjP8yI=s68-c-k-c0x00ffffff-no-rj"
"Heartopia's Build Mode Is The Most SATISFYING Experience Ever!","https://www.youtube.com/watch?v=QcW4egqM7UY&pp=ygUJaGVhcnRvcGlh","40.19","1万次观看","1个月前","https://www.youtube.com/@fantayzia","https://yt3.ggpht.com/39d1-Jb-sK1Ory4aP0BuDhiAGv18teBgsQ-Mh2T4NOYSsbMHTizv-Gl54chIr-BQ14LRhsBc=s68-c-k-c0x00ffffff-no-rj"
"Heartopia Gameplay Walkthrough Part 1 (Android, iOS)","https://www.youtube.com/watch?v=4bubXU3NBGA&pp=ygUJaGVhcnRvcGlh","21.19","2.6万次观看","2个月前","https://www.youtube.com/@Techzamazing","https://yt3.ggpht.com/ytc/AIdro_kgvcG5qmOpgHl6s9OMOTZ-1nK8L7vpjl355fr9RfsirR8=s68-c-k-c0x00ffffff-no-rj"
"20 TIPS for HEARTOPIA Beginners! Full Game Release Guide","https://www.youtube.com/watch?v=BXx6VqHHVh4&pp=ygUJaGVhcnRvcGlh","10.09","5.5万次观看","6天前","https://www.youtube.com/@CozyCyber","https://yt3.ggpht.com/SGVvaP3f3P_IZqosvqGjl2lHI86NGfx_VBLQlx1I2HjKXI6xCzS85YfgDwRVJb2dcnPWt5m_7ck=s68-c-k-c0x00ffffff-no-rj"
"Top 10 Best Cozy Mobile Games to Soothe Your Mind | Best Mobile Games 2025","https://www.youtube.com/watch?v=X9QXRfsNQYs&pp=ygUJaGVhcnRvcGlh","10.29","28万次观看","5个月前","https://www.youtube.com/@ATYT","https://yt3.ggpht.com/ytc/AIdro_n2WlThvitJbChHEnp8mnvK8SjHpIUsLRZLG_dRkYva8y0=s68-c-k-c0x00ffffff-no-rj"
"Decorating My Dream Home in Heartopia 🩷 Cozy & Relaxing Gameplay","https://www.youtube.com/watch?v=pI--Y2OkOI0&pp=ygUJaGVhcnRvcGlh","31.02","4.3万次观看","3周前","https://www.youtube.com/@fantayzia","https://yt3.ggpht.com/39d1-Jb-sK1Ory4aP0BuDhiAGv18teBgsQ-Mh2T4NOYSsbMHTizv-Gl54chIr-BQ14LRhsBc=s68-c-k-c0x00ffffff-no-rj"
"Touring The Most AMAZING Houses In Heartopia!","https://www.youtube.com/watch?v=TmVDilQKBGk&pp=ygUJaGVhcnRvcGlh","27.52","1.8万次观看","1个月前","https://www.youtube.com/@fantayzia","https://yt3.ggpht.com/39d1-Jb-sK1Ory4aP0BuDhiAGv18teBgsQ-Mh2T4NOYSsbMHTizv-Gl54chIr-BQ14LRhsBc=s68-c-k-c0x00ffffff-no-rj"
"HEARTOPIA - CUTE FRIEND MIMI AND HER MOST BEAUTIFUL HOUSE - GAMEPLAY PART 09 [ PC HD 60FPS ]","https://www.youtube.com/watch?v=QFWEj9g44mQ&pp=ygUJaGVhcnRvcGlh0gcJCU0KAYcqIYzv","5.14","520次观看","3周前","https://www.youtube.com/@EpicnessYT","https://yt3.ggpht.com/FGqKLXjHXRqO1_EqsHy9_zXdoAm_A7sXLiFy3beVumIO1Z33XjtH4rDlnQGgM2CZFe_J5qOM=s68-c-k-c0x00ffffff-no-rj"
"Official Launch Special Program | New Content & Rewards Revealed!","https://www.youtube.com/watch?v=zl1Kt4t7TNQ&pp=ygUJaGVhcnRvcGlh","26.57","2.5万次观看","9天前","https://www.youtube.com/@Heartopia-official","https://yt3.ggpht.com/3GBH23oPFmFLP0J1tW78KkKQSZfb2irw4IxjKC5YjPw6NUI_x81xbxLvvkhY53wBYtM9km1T=s68-c-k-c0x00ffffff-no-rj"
"Heartopia Global Launch Official PV - Chapter 1","https://www.youtube.com/watch?v=iES5PPVSF7A&pp=ygUJaGVhcnRvcGlh","1.05","22万次观看","11天前","https://www.youtube.com/@Heartopia-official","https://yt3.ggpht.com/3GBH23oPFmFLP0J1tW78KkKQSZfb2irw4IxjKC5YjPw6NUI_x81xbxLvvkhY53wBYtM9km1T=s68-c-k-c0x00ffffff-no-rj"
"Heartopia Beta First Impressions - Animal Crossing Meets Mobile Gaming","https://www.youtube.com/watch?v=dwL5G9u-WXM&pp=ygUJaGVhcnRvcGlh","11.48","2464次观看","2个月前","https://www.youtube.com/@GameHaunt","https://yt3.ggpht.com/ytc/AIdro_loeGBECTFNowMexeeKKh-YIzOFJK7yM9TLMpZo4DNWzio=s68-c-k-c0x00ffffff-no-rj"
"FIRST LOOK At Heartopia - Relaxing Longplay – Beautiful Cozy Life Sim(No Commentary)","https://www.youtube.com/watch?v=XJA1pUJBik4&pp=ygUJaGVhcnRvcGlh","2.29:29","5927次观看","2个月前","https://www.youtube.com/@AJayyP","https://yt3.ggpht.com/8ygnnAN84CiH0I4a_H8VX0ezEShjfyWaPC9WFflWk0r-pyWKKM6iivQ5vcpWuStVq56kJR4wNg=s68-c-k-c0x00ffffff-no-rj"
"This NEW Cozy Life Sim Is FREE To Play Right Now — Heartopia Gameplay News!","https://www.youtube.com/watch?v=WZLeieeOXI4&pp=ygUJaGVhcnRvcGlh0gcJCU0KAYcqIYzv","13.00","3.3万次观看","2个月前","https://www.youtube.com/@fantayzia","https://yt3.ggpht.com/39d1-Jb-sK1Ory4aP0BuDhiAGv18teBgsQ-Mh2T4NOYSsbMHTizv-Gl54chIr-BQ14LRhsBc=s68-c-k-c0x00ffffff-no-rj"
"This Life Sims Pet Care System Is TOP TIER! Heartopia Animal Gameplay","https://www.youtube.com/watch?v=DhPHabDNICI&pp=ygUJaGVhcnRvcGlh","27.57","9271次观看","1个月前","https://www.youtube.com/@fantayzia","https://yt3.ggpht.com/39d1-Jb-sK1Ory4aP0BuDhiAGv18teBgsQ-Mh2T4NOYSsbMHTizv-Gl54chIr-BQ14LRhsBc=s68-c-k-c0x00ffffff-no-rj"
"Heartopia: The Coziest Game Ever Made","https://www.youtube.com/watch?v=voorNCSeHGk&pp=ygUJaGVhcnRvcGlh","39.14","8681次观看","2个月前","https://www.youtube.com/@fantayzia","https://yt3.ggpht.com/39d1-Jb-sK1Ory4aP0BuDhiAGv18teBgsQ-Mh2T4NOYSsbMHTizv-Gl54chIr-BQ14LRhsBc=s68-c-k-c0x00ffffff-no-rj"
"This NEW Life Sim Game Is So Much BETTER Than I Expected! Heartopia Gameplay & First Impressions","https://www.youtube.com/watch?v=vRpp3WkUS14&pp=ygUJaGVhcnRvcGlh0gcJCU0KAYcqIYzv","41.04","1.4万次观看","2个月前","https://www.youtube.com/@fantayzia","https://yt3.ggpht.com/39d1-Jb-sK1Ory4aP0BuDhiAGv18teBgsQ-Mh2T4NOYSsbMHTizv-Gl54chIr-BQ14LRhsBc=s68-c-k-c0x00ffffff-no-rj"
"This Multiplayer Life Sim is PROMISING! - Heartopia Beta Gameplay","https://www.youtube.com/watch?v=7GfCBp_2k8E&pp=ygUJaGVhcnRvcGlh","1.13:06","3.7万次观看","2个月前","https://www.youtube.com/@emmalution","https://yt3.ggpht.com/Y-FPLllH71ECyRtO1bIn_1to59KLAPVeUdoYguTsNrCqnuuC1NVGNo4M_h3OPfDPGBc0MBlVSg=s68-c-k-c0x00ffffff-no-rj"
"Heartopia - New quests and adopting pets! (Part 9)","https://www.youtube.com/watch?v=erPe4DC36wE&pp=ygUJaGVhcnRvcGlh","3.07:35","939次观看","1天前","https://www.youtube.com/@CrystalDreams","https://yt3.ggpht.com/Alj_0tpIlB-BxE8uL8UgcXeHdq9AnGCy9W4FJqs32W5TtuT_nN_oW5WHJ7zcywMlM9GbPhNRiQ=s68-c-k-c0x00ffffff-no-rj"
"Heartopia Currency Guide! 🩷 Every Coin Explained & How to Get Them!","https://www.youtube.com/watch?v=530WWC1P_Qg&pp=ygUJaGVhcnRvcGlh","9.41","3793次观看","2天前","https://www.youtube.com/@emiiaryy","https://yt3.ggpht.com/uS4WwS5qwraTQxuGS1QHD8IYLDMNUEc4T5hVVUzTc8MQIqsx01cJBV2NkeVLeLw-6VHknsWdeQ=s68-c-k-c0x00ffffff-no-rj"
"Building My DREAM HOME In Heartopia! Cozy Relaxing Building","https://www.youtube.com/watch?v=r5aPulcc6Oc&pp=ygUJaGVhcnRvcGlh","31.31","6.4万次观看","4周前","https://www.youtube.com/@fantayzia","https://yt3.ggpht.com/39d1-Jb-sK1Ory4aP0BuDhiAGv18teBgsQ-Mh2T4NOYSsbMHTizv-Gl54chIr-BQ14LRhsBc=s68-c-k-c0x00ffffff-no-rj"
"My DAILY ROUTINE In The Coziest Life Sim Heartopia","https://www.youtube.com/watch?v=5ICtzHwymIQ&pp=ygUJaGVhcnRvcGlh","15.07","8.9万次观看","3周前","https://www.youtube.com/@fantayzia","https://yt3.ggpht.com/39d1-Jb-sK1Ory4aP0BuDhiAGv18teBgsQ-Mh2T4NOYSsbMHTizv-Gl54chIr-BQ14LRhsBc=s68-c-k-c0x00ffffff-no-rj"
"Heartopia Is The Most Addicting Cozy Life Sim — Gardening, Fishing, Decorating","https://www.youtube.com/watch?v=Fkfvkbd5k_Q&pp=ygUJaGVhcnRvcGlh","27.13","6532次观看","2个月前","https://www.youtube.com/@fantayzia","https://yt3.ggpht.com/39d1-Jb-sK1Ory4aP0BuDhiAGv18teBgsQ-Mh2T4NOYSsbMHTizv-Gl54chIr-BQ14LRhsBc=s68-c-k-c0x00ffffff-no-rj"
"Heartopia - Official Gameplay Trailer","https://www.youtube.com/watch?v=L-i8l4VJ2y8&pp=ygUJaGVhcnRvcGlh0gcJCU0KAYcqIYzv","7.52","3.6万次观看","3个月前","https://www.youtube.com/@IGN","https://yt3.ggpht.com/0r31CrZzRiYSl-_Zpg14rDNp0lSkHJnKKS7Jmj6sPZtUOFRpulRg1zqO-VYmRDNUSxBEgAeUzw=s68-c-k-c0x00ffffff-no-rj"
"Heartopia 15 Pink Bubble Locations | Toilet, Furniture & Wishing Star","https://www.youtube.com/watch?v=pI-7RmSBrCc&pp=ygUJaGVhcnRvcGlh0gcJCU0KAYcqIYzv","10.56","2733次观看","1天前","https://www.youtube.com/@JoeHarsa","https://yt3.ggpht.com/5plT5_8C1SedTlQ2wiUKZbpjnuYMhTCGTXDSAZUE0Vm2WpsjTjFoGmODKWogdn1KMR1Vy6uyKg=s68-c-k-c0x00ffffff-no-rj"
"Heartopia (GLOBAL/EN) Gameplay Android IOS - Official Launch.","https://www.youtube.com/watch?v=X5cl34m96Ws&pp=ygUJaGVhcnRvcGlh","20.02","255次观看","6天前","https://www.youtube.com/@fyxofficial","https://yt3.ggpht.com/RCtNAWM2Xjc4MQCMIl51j7jPIlww8h-9_EWCqrS_wqagmsPXSMvUDW02qKdEbSObvB9R1sg-WA=s68-c-k-c0x00ffffff-no-rj"
"MAKE GOLD FAST IN HEARTOPIA! A BEGINNERS GUIDE!","https://www.youtube.com/watch?v=opdti6KVzzM&pp=ygUJaGVhcnRvcGlh","23.11","2108次观看","20小时前","https://www.youtube.com/@tanniegames","https://yt3.ggpht.com/BY1xVglHKUIkjTHCYcReOMcsSfmcD5_PzN1y_5SJ_-qE1ahWFv-bSntHAzcJB4A-ILoC9XhXeg=s68-c-k-c0x00ffffff-no-rj"
"Heartopia -  Gameplay Walkthrough #1","https://www.youtube.com/watch?v=oVFPv_InA_Q&pp=ygUJaGVhcnRvcGlh","26.45","9725次观看","2个月前","https://www.youtube.com/@CeloZagaParty","https://yt3.ggpht.com/8HGdAhSc2IUS57yZ1M1gKBk7uVBN3Szj3GvoVtvdTAws0jZ6YR6Z51FOlujDkea43t4QEVzg=s68-c-k-c0x00ffffff-no-rj"
"EASY Heartopia Guide | Tips & Tricks","https://www.youtube.com/watch?v=lFSWS1ZvpkM&pp=ygUJaGVhcnRvcGlh","4.36","402次观看","14小时前","https://www.youtube.com/@kofiez","https://yt3.ggpht.com/L93fr2ziNtfMIPyr7QSYCry9MEAXQE-tRQKpmwuQ8Gv95CiTO4vttz6xESYSICkdCx3SbSAB6g=s68-c-k-c0x00ffffff-no-rj"
"Heartopia - Final Test Gameplay (Android/iOS)","https://www.youtube.com/watch?v=_atX9mVQzgk&pp=ygUJaGVhcnRvcGlh","22.11","6955次观看","1个月前","https://www.youtube.com/@GamingMobileGM","https://yt3.ggpht.com/ytc/AIdro_l3hp7_BVmJIr8Fvdpp_M5GIefkzyzoK8VNySvn_hubiO0=s68-c-k-c0x00ffffff-no-rj"
"YOU NEED TO KNOW THIS IN HEARTOPIA!!","https://www.youtube.com/watch?v=acok9E5MCww&pp=ygUJaGVhcnRvcGlh","19.13","4484次观看","1个月前","https://www.youtube.com/@tanniegames","https://yt3.ggpht.com/BY1xVglHKUIkjTHCYcReOMcsSfmcD5_PzN1y_5SJ_-qE1ahWFv-bSntHAzcJB4A-ILoC9XhXeg=s68-c-k-c0x00ffffff-no-rj"
"Heartopia Neighborhood Apartment Buildings and Cafe Speedbuild (early access beta test) #heartopia","https://www.youtube.com/watch?v=NR56DCS3AUE&pp=ygUJaGVhcnRvcGlh","20.12","1737次观看","1个月前","https://www.youtube.com/@yarrowTV","https://yt3.ggpht.com/MgOrGCM4PQHpkYa_LVEh_FxRXArMkRV4o_R0wj64N6YZe4LVckcQdJJzXaA6Eq0NDbpLsp6AK38=s68-c-k-c0x00ffffff-no-rj"
"Heartopia (farming/life sim) - Part 1. No Commentary Gameplay.","https://www.youtube.com/watch?v=X8iovXF7B7o&pp=ygUJaGVhcnRvcGlh0gcJCU0KAYcqIYzv","1.59:34","273次观看","3周前","https://www.youtube.com/@HausOfZombies","https://yt3.ggpht.com/q6lwif_Qnb-Sdf1ICQQfYLYUHGuOCqg10_bvXnjAfhT2LuefbLgzBcrfpsSyVpfGTHjZMcMvlZk=s68-c-k-c0x00ffffff-no-rj"
