Title,Video URL,Video Duration,Views Number,Date the video uploaded
"Lanzaron 'Minecraft' de SUEÑOS LIMINALES 👉 Lucid Blocks","https://www.youtube.com/watch?v=BEPD_vrHyUU&pp=ygUMTHVjaWQgQmxvY2tz","26.14","9.8万次观看","6小时前"
"lucid blocks | available now","https://www.youtube.com/watch?v=7C7fybRM_No&pp=ygUMTHVjaWQgQmxvY2tz","0.57","3.5万次观看","1天前"
"gel from heaven","https://www.youtube.com/watch?v=Jwz8eCRHA0U&pp=ygUMTHVjaWQgQmxvY2tz","5.49","9702次观看","4天前"
"ПУГОД БУДЕТ ИГРАТЬ В ЖУТКУЮ ПАРОДИЮ НА МАЙНКРАФТ? | РЕЛИЗ НОВОЙ ИГРЫ","https://www.youtube.com/watch?v=AA5a1jPrp-E&pp=ygUMTHVjaWQgQmxvY2tz0gcJCcUKAYcqIYzv","3.20","5802次观看","5天前"
"how deep is lucid blocks?","https://www.youtube.com/watch?v=ozuSKZP3rgg&pp=ygUMTHVjaWQgQmxvY2tz","9.02","3941次观看","2天前"
"A World With No Explanation | Lucid Blocks","https://www.youtube.com/watch?v=LjXxiTuXSXQ&pp=ygUMTHVjaWQgQmxvY2tz0gcJCcUKAYcqIYzv","25.07","2639次观看","21小时前"
"playing lucid blocks on my redstone box (live)","https://www.youtube.com/watch?v=DfIP0znCW5Y&pp=ygUMTHVjaWQgQmxvY2tz","4.38:26","1937次观看","直播时间：6天前"
"playing lucid blocks again, come say hi (second livestream)","https://www.youtube.com/watch?v=rR3FgW0Z7mg&pp=ygUMTHVjaWQgQmxvY2tz","4.17:31","1283次观看","直播时间：4天前"
"Майнкрафт, но под грибным сдвигом [Lucid Blocks]","https://www.youtube.com/watch?v=Q6UNgD8HwiE&pp=ygUMTHVjaWQgQmxvY2tz0gcJCcUKAYcqIYzv","3.26:49","1026次观看","直播时间：16小时前"
"кажется, я скачал не тот майнкрафт (мне страшно)","https://www.youtube.com/watch?v=DrE-oTfpJ8s&pp=ygUMTHVjaWQgQmxvY2tz","11.58","475次观看","1天前"
"#shorts Lucid Blocks เกมใหม่น่าเล่น","https://www.youtube.com/watch?v=qyqZgLqbLHU&pp=ygUMTHVjaWQgQmxvY2tz","5.45:57","333次观看","直播时间：13小时前"
"Streaming Lucid blocks!","https://www.youtube.com/watch?v=pwZwYlWFo3k&pp=ygUMTHVjaWQgQmxvY2tz","9.54:55","266次观看","直播时间：12小时前"
"Lucid Blocks | Awesome New Surreal Ethereal Liminal Minecraft Game","https://www.youtube.com/watch?v=GdPOwVbhU90&pp=ygUMTHVjaWQgQmxvY2tz","43.37","278次观看","11小时前"
"Lucid Blocks  - Fishing for Bubblebears","https://www.youtube.com/watch?v=WRnbXBX_UQs&pp=ygUMTHVjaWQgQmxvY2tz","2.22","162次观看","5天前"
"Dieses NEUE Liminal Space Minecraft Game ist gerade gedroppt...","https://www.youtube.com/watch?v=QFwDCDjVoJw&pp=ygUMTHVjaWQgQmxvY2tz","58.42","203次观看","17小时前"
"lucid blocks　初見プレイ配信！！！！！！","https://www.youtube.com/watch?v=xfcidgVJDxA&pp=ygUMTHVjaWQgQmxvY2tz","2.36:24","128次观看","直播时间：20小时前"
"【生配信】無限に続く奇怪な世界に迷い込んでしまいました【lucid blocks】#ゲーム実況 #生配信","https://www.youtube.com/watch?v=Ii5jBm8Cw9s&pp=ygUMTHVjaWQgQmxvY2tz","2.24:01","67次观看","直播时间：16小时前"
"Lucid Blocks – Майнкрафт для "нетакусиков"","https://www.youtube.com/watch?v=_fe10dwEibA&pp=ygUMTHVjaWQgQmxvY2tz","3.35:09","85次观看","直播时间：11小时前"
"Lucid Blocks - Game Reveal Trailer","https://www.youtube.com/watch?v=DtLCKuapgmY&pp=ygUMTHVjaWQgQmxvY2tz","1.01","118次观看","6天前"
"Lucid Blocks เกมใหม่น่าเล่น","https://www.youtube.com/watch?v=l1Pg-5SVA3A&pp=ygUMTHVjaWQgQmxvY2tz","5.48:26","77次观看","直播时间：13小时前"
"LUCID BLOCKS!!!","https://www.youtube.com/watch?v=8szRK4k47pk&pp=ygUMTHVjaWQgQmxvY2tz","2.31:15","52次观看","直播时间：22小时前"
"LUCID BLOCKS NEW GAME","https://www.youtube.com/watch?v=EQ-czk10_GA&pp=ygUMTHVjaWQgQmxvY2tz","2.00:47","52次观看","直播时间：5小时前"
"How to easily level up by using fish and goo (lucid blocks)","https://www.youtube.com/watch?v=iOE1-NlJnhA&pp=ygUMTHVjaWQgQmxvY2tz","4.07","64次观看","12小时前"
"if minecraft was a dream - Lucid Blocks - Part 1","https://www.youtube.com/watch?v=V0yY5HhsVj4&pp=ygUMTHVjaWQgQmxvY2tz","42.01","102次观看","17小时前"
"Дримкор мод Майнкрафт | Lucid Blocks №1","https://www.youtube.com/watch?v=y09t104rOf0&pp=ygUMTHVjaWQgQmxvY2tz","3.18:53","47次观看","直播时间：13小时前"
"MOONMOON Twitch  Live VOD - MARCH 13 2026 PART 2","https://www.youtube.com/watch?v=sP03VE2CjT8&pp=ygUMTHVjaWQgQmxvY2tz0gcJCcUKAYcqIYzv","3.00:01","37次观看","1小时前"
"Fix Lucid Blocks Crashing, Not Launching, Freezing & Startup Crash to Desktop","https://www.youtube.com/watch?v=v60rAvQg30w&pp=ygUMTHVjaWQgQmxvY2tz","2.59","77次观看","1天前"
"Investing stocks in lucid blocks【Lucid Blocks #1】","https://www.youtube.com/watch?v=IOKNYnpepLI&pp=ygUMTHVjaWQgQmxvY2tz","3.59:28","39次观看","直播时间：3小时前"
"playing LUCID BLOCKS for the first time! Minecraft meets the LSD Dream Emulator!","https://www.youtube.com/watch?v=ub7xbgRgYzg&pp=ygUMTHVjaWQgQmxvY2tz","4.02:25","30次观看","直播时间：6小时前"
"how to get the hidden Dominion δ achievement | lucid blocks","https://www.youtube.com/watch?v=QG5Lvqjyavg&pp=ygUMTHVjaWQgQmxvY2tz","2.11","42次观看","9小时前"
"Is Lucid Blocks the NEXT BIG Indie Game? New Trailer Breakdown","https://www.youtube.com/watch?v=S606wnZOOFw&pp=ygUMTHVjaWQgQmxvY2tz","2.08","80次观看","4天前"
"Просто стрим по Lucid Blocks!","https://www.youtube.com/watch?v=IR9Dqxfubiw&pp=ygUMTHVjaWQgQmxvY2tz","1.00:53","25次观看","直播时间：15小时前"
"Playing "Lucid Blocks"!","https://www.youtube.com/watch?v=WEtvoBA4qLc&pp=ygUMTHVjaWQgQmxvY2tz","3.50:27","27次观看","直播时间：5小时前"
"Lucid Blocks | Спокойный геймплей без комментариев / Исследование и релакс","https://www.youtube.com/watch?v=9DYTkskiJ1o&pp=ygUMTHVjaWQgQmxvY2tz","44.31","26次观看","17小时前"
"Психоделический MINECRAFT - Lucid Blocks#1","https://www.youtube.com/watch?v=XzNDfz1GpwI&pp=ygUMTHVjaWQgQmxvY2tz","24.32","37次观看","12小时前"
"Lucid Blocks VOD 3/13/26","https://www.youtube.com/watch?v=ZC_4QTcd2ao&pp=ygUMTHVjaWQgQmxvY2tz","6.03:37","32次观看","17小时前"
"Lucid Blocks - Full Game Walkthrough (No Commentary)","https://www.youtube.com/watch?v=vHpRYFu_f2w&pp=ygUMTHVjaWQgQmxvY2tz","1.36:33","95次观看","2小时前"
"This Game Feels Like a Fever Dream... (Lucid Blocks)","https://www.youtube.com/watch?v=UhiVPojYQSw&pp=ygUMTHVjaWQgQmxvY2tz","8.42","29次观看","11小时前"
"LUCID BLOCKS YAYYYYYYY","https://www.youtube.com/watch?v=8Wt8g776ssg&pp=ygUMTHVjaWQgQmxvY2tz","15.41","24次观看","直播时间：13小时前"
"🐌СТРИМ: СОН НАОБОРОТ... LUCID BLOCKS EP0","https://www.youtube.com/watch?v=v8k-g8h6Jt8&pp=ygUMTHVjaWQgQmxvY2tz","4.00:10","15次观看","直播时间：11小时前"
"Lucid Blocks | BEST Indie Games Trailers","https://www.youtube.com/watch?v=qXAnkRitCtA&pp=ygUMTHVjaWQgQmxvY2tz","1.02","32次观看","5天前"
"GongerNonger in Minecraft Off 40 Benadryl's | Lucid Blocks Playtest","https://www.youtube.com/watch?v=D_wIH4OWvQE&pp=ygUMTHVjaWQgQmxvY2tz","49.57","27次观看","1天前"
"Playing the New Liminal Horror Game - Lucid Blocks","https://www.youtube.com/watch?v=7BUbMHITwyw&pp=ygUMTHVjaWQgQmxvY2tz","3.31:19","12次观看","直播时间：2小时前"
"First time playing Lucid Blocks... WHATS HAPPENING??","https://www.youtube.com/watch?v=FLCmrZ05SYQ&pp=ygUMTHVjaWQgQmxvY2tz","2.47:14","17次观看","直播时间：14小时前"
"Lucid Blocks ᐷ Геймплей (Без комментариев)","https://www.youtube.com/watch?v=TKWtlOccQ6A&pp=ygUMTHVjaWQgQmxvY2tz","15.15","16次观看","19小时前"
"Lucid Blocks stream on a Music Channel","https://www.youtube.com/watch?v=EZbyUD-bZxk&pp=ygUMTHVjaWQgQmxvY2tz","1.58:15","12次观看","直播时间：9小时前"
"2nd time playing lucid blocks - WHATS REALLY HAPPENING","https://www.youtube.com/watch?v=npSYLdDCkAQ&pp=ygUMTHVjaWQgQmxvY2tz","2.03:42","11次观看","直播时间：2小时前"
"lucid blocks DA MIEDO - primeras impresiones en directo","https://www.youtube.com/watch?v=yxouQ3DeFgU&pp=ygUMTHVjaWQgQmxvY2tz","","",""
"SYMULATOR SNÓW czyli Lucid Blocks już jest !! #1","https://www.youtube.com/watch?v=D1UGFdkpXQ0&pp=ygUMTHVjaWQgQmxvY2tz","20.04","23次观看","18小时前"
"Lucid Blocks and benadryl","https://www.youtube.com/watch?v=dAgJEKyFwzM&pp=ygUMTHVjaWQgQmxvY2tz","1.13:55","10次观看","直播时间：2小时前"
"Lucid Blocks ИГРА НАКОНЕЦ ВЫШЛА","https://www.youtube.com/watch?v=BFyeyUn1UqY&pp=ygUMTHVjaWQgQmxvY2tz","1.58:04","14次观看","直播时间：19小时前"
"(Lucid Blocks) Minecraft, pero como se ve en mis sueños [ESP]","https://www.youtube.com/watch?v=_59UMhg2EZc&pp=ygUMTHVjaWQgQmxvY2tz","2.47:46","23次观看","直播时间：11小时前"
"Lucid Blocks - Hood Research & Development Department","https://www.youtube.com/watch?v=0FLHHzSf31g&pp=ygUMTHVjaWQgQmxvY2tz","20.56","6次观看","直播时间：12小时前"
"Lucid Blocks - Ethereal Dreamscape","https://www.youtube.com/watch?v=L16IZg9xnX8&pp=ygUMTHVjaWQgQmxvY2tz","41.34","12次观看","9小时前"
"LUCID BLOCKS - ARC RAIDERS - INSANITY","https://www.youtube.com/watch?v=2XaxExV6Lz8&pp=ygUMTHVjaWQgQmxvY2tz","4.40:22","6次观看","直播时间：3小时前"
"PRAHNO LIVE [0313] **UNC STREAM**  LUCID BLOCKS FIRST PLAYTHROUGH any%","https://www.youtube.com/watch?v=o7oEN7_Tt_k&pp=ygUMTHVjaWQgQmxvY2tz","3.51:34","6次观看","直播时间：9小时前"
"Lucid Blocks Gameplay #1 [No Commentary]","https://www.youtube.com/watch?v=7MlbR0sjpy4&pp=ygUMTHVjaWQgQmxvY2tz","1.33:51","14次观看","8小时前"
"Летающие деревья, моё измерение, город, зонтик и многое другое!ㅤL u c i dㅤB l o c k sㅤ-ㅤЧасть 1","https://www.youtube.com/watch?v=lWAIowD7JKE&pp=ygUMTHVjaWQgQmxvY2tz","58.18","6次观看","11小时前"
"My gameplay (lucid blocks)","https://www.youtube.com/watch?v=BUahrogiG58&pp=ygUMTHVjaWQgQmxvY2tz","1.05:18","21次观看","17小时前"
"Giant hand in Lucid Blocks","https://www.youtube.com/watch?v=7QfaS-FtVH4&pp=ygUMTHVjaWQgQmxvY2tz","1.01","8次观看","10小时前"
"Minecraft, but it's a Dream - Lucid Blocks","https://www.youtube.com/watch?v=Esjfa5zVOwA&pp=ygUMTHVjaWQgQmxvY2tz","55.13","8次观看","4小时前"
"Lucid Dreaming with Lucid Blocks","https://www.youtube.com/watch?v=lFp8RcfiL68&pp=ygUMTHVjaWQgQmxvY2tz","1.08:24","4次观看","直播时间：11小时前"
"Lucid Blocks","https://www.youtube.com/watch?v=ok0s44fXPZQ&pp=ygUMTHVjaWQgQmxvY2tz","37.26","19次观看","9小时前"
"I Have No Idea - [Lucid Blocks]","https://www.youtube.com/watch?v=bNDRtvu8gwM&pp=ygUMTHVjaWQgQmxvY2tz","1.11:08","3次观看","直播时间：8小时前"
"lucid blocks","https://www.youtube.com/watch?v=2-lLtvoIF4c&pp=ygUMTHVjaWQgQmxvY2tz","10.18","11次观看","7小时前"
"Lucid Blocks (misho vjfr)","https://www.youtube.com/watch?v=1GrxIjMxlAw&pp=ygUMTHVjaWQgQmxvY2tz","1.41:36","4次观看","直播时间：4小时前"
"Мир сновидений I Lucid blocks","https://www.youtube.com/watch?v=9QlAfvGkPGA&pp=ygUMTHVjaWQgQmxvY2tz","27.09","3次观看","13小时前"
"first time trying Lucid Blocks","https://www.youtube.com/watch?v=uPuKucJUPhI&pp=ygUMTHVjaWQgQmxvY2tz","1.41:13","1次观看","1小时前"
"Интересный баг с освещением (чуть-чуть закриповило)","https://www.youtube.com/watch?v=J9dzHC10RKY&pp=ygUMTHVjaWQgQmxvY2tz","0.38","无人观看","10小时前"
"Weird city in lucid blocks","https://www.youtube.com/watch?v=ck4DFPyPmr0&pp=ygUMTHVjaWQgQmxvY2tz","5.51","无人观看","2小时前"
"lucid blocks gameplay","https://www.youtube.com/watch?v=g7HOXT84Mhg&pp=ygUMTHVjaWQgQmxvY2tz","1.39","无人观看","15小时前"
"Attempting to reach the ending of Lucid Blocks","https://www.youtube.com/watch?v=ZHaYKtWLyzY&pp=ygUMTHVjaWQgQmxvY2tz","即将开始","预定发布时间：2026/3/15 01:00",""
"Lucid Blocks - PC Gameplay 4K (No Commentary)","https://www.youtube.com/watch?v=gtBw2N1NdAI&pp=ygUMTHVjaWQgQmxvY2tz","27.21","无人观看","10小时前"
"Minecraft, каким я его представлял","https://www.youtube.com/watch?v=Yj9MjCN1mAs&pp=ygUMTHVjaWQgQmxvY2tz","1.15:23","4次观看","6小时前"
"Lets Look At Lucid Blocks","https://www.youtube.com/watch?v=QSYK9hs8bks&pp=ygUMTHVjaWQgQmxvY2tz","1.09:58","无人观看","11小时前"
"Lucid Blocks Turned My Brain Into Mush","https://www.youtube.com/watch?v=VwEgxG-0zS0&pp=ygUMTHVjaWQgQmxvY2tz","58.16","无人观看","13小时前"
"Lucid Blocks...Take a trip!!","https://www.youtube.com/watch?v=6yxE0LN5q8Y&pp=ygUMTHVjaWQgQmxvY2tz","22.53","无人观看","5小时前"
"Lucid Blocks cock speedrun ( FIRST EVER MADE )","https://www.youtube.com/watch?v=PTZ9SwYHLYY&pp=ygUMTHVjaWQgQmxvY2tz","0.19","无人观看","17小时前"
"I hate parkour | Lucid blocks","https://www.youtube.com/watch?v=GOWyuqkUMJA&pp=ygUMTHVjaWQgQmxvY2tz","1.21","无人观看","15小时前"
"Lucid Blocks - I'm so scared....","https://www.youtube.com/watch?v=rHROBKGwbQQ&pp=ygUMTHVjaWQgQmxvY2tz","","无人观看","23小时前"
"Minecraft On Acid | Lucid Blocks |","https://www.youtube.com/watch?v=gqSWSrxF_70&pp=ygUMTHVjaWQgQmxvY2tz","31.47","无人观看","4小时前"
"Lucid Blocks 1","https://www.youtube.com/watch?v=9pLcUGH7jec&pp=ygUMTHVjaWQgQmxvY2tz","57.24","无人观看","13小时前"
"Lucid Blocks Review 2026 - A Surreal Dreamscape of Infinite Possibilities!","https://www.youtube.com/watch?v=vrNvgAA1BNM&pp=ygUMTHVjaWQgQmxvY2tz","7.35","无人观看","7分钟前"
"Playing lucid blocks","https://www.youtube.com/watch?v=jvzFZXJObFs&pp=ygUMTHVjaWQgQmxvY2tz","38.54","无人观看","5小时前"
"Lucid Block - My Minecraft looks weird","https://www.youtube.com/watch?v=6DqGLALr_Yk&pp=ygUMTHVjaWQgQmxvY2tz","5.11:11","2次观看","直播时间：8小时前"
"Lucid Blocks - ЛИМИНАЛЬНЫЙ Майнкрафт на пятница 13-ое","https://www.youtube.com/watch?v=fC8J9uu7TwM&pp=ygUMTHVjaWQgQmxvY2tz","5.54:44","无人观看","8分钟前"
"Психоделические кубы - Lucid BLocks","https://www.youtube.com/watch?v=IfxFEB90t6s&pp=ygUMTHVjaWQgQmxvY2tz","2.46","无人观看","直播时间：17小时前"
"The world's melting around me but at least I have bee glove :3 | Lucid Blocks","https://www.youtube.com/watch?v=900sF79O76k&pp=ygUMTHVjaWQgQmxvY2tz","2.03:55","无人观看","直播时间：2小时前"
"THIS GAME IS AMAZING - Lucid Blocks (part 1)","https://www.youtube.com/watch?v=JmiZdh5HM5Y&pp=ygUMTHVjaWQgQmxvY2tz","42.22","无人观看","23小时前"
"Voxelised Apotheosis - Lucid Blocks","https://www.youtube.com/watch?v=h48qNFC5MXU&pp=ygUMTHVjaWQgQmxvY2tz","2.26:16","无人观看","1小时前"
"Interesting Lucid Blocks Gameplay To Fall Asleep To. (we're dreaming to this one boys)","https://www.youtube.com/watch?v=N_MW3er4M98&pp=ygUMTHVjaWQgQmxvY2tz","1.16:13","无人观看","2小时前"
"Lucid Blocks - A wonderfully wacky game","https://www.youtube.com/watch?v=uhR5qL_jJ_E&pp=ygUMTHVjaWQgQmxvY2tz","27.45","无人观看","3小时前"
"Lucid Blocks","https://www.youtube.com/watch?v=FL4hUghZ3gA&pp=ygUMTHVjaWQgQmxvY2tz","1.20:46","无人观看","13小时前"
"Эта игра сломала мне психику | Lucid Bolcks","https://www.youtube.com/watch?v=vxRZ_A9OYiY&pp=ygUMTHVjaWQgQmxvY2tz","即将开始","首播时间：2026/3/14 18:00",""
"Lucid blocks day 1.","https://www.youtube.com/watch?v=98f2M_vwWco&pp=ygUMTHVjaWQgQmxvY2tz","45.34","无人观看","7小时前"
"Launching Tomorrow: Lucid Blocks","https://www.youtube.com/watch?v=fLqMoWPjO14&pp=ygUMTHVjaWQgQmxvY2tz","1.06","无人观看","1天前"
